LINK ID,Final_CO2_Hour_0,Final_CO2_Hour_1,Final_CO2_Hour_2,Final_CO2_Hour_3,Final_CO2_Hour_4,Final_CO2_Hour_5,Final_CO2_Hour_6,Final_CO2_Hour_7,Final_CO2_Hour_8,Final_CO2_Hour_9,Final_CO2_Hour_10,Final_CO2_Hour_11,Final_CO2_Hour_12,Final_CO2_Hour_13,Final_CO2_Hour_14,Final_CO2_Hour_15,Final_CO2_Hour_16,Final_CO2_Hour_17,Final_CO2_Hour_18,Final_CO2_Hour_19,Final_CO2_Hour_20,Final_CO2_Hour_21,Final_CO2_Hour_22,Final_CO2_Hour_23
1063438,93197.75073466281,69474.5619340341,49056.18722291124,40708.94454673282,43631.83558515177,67095.36680898209,117443.7527561001,240074.43587343697,256102.17157159187,276984.22249043954,287763.95965033385,282462.33828778245,270025.79460291006,305845.70847067796,314406.5570047798,323347.7772693068,339514.7954388702,312037.3323175614,304855.2309615818,259518.84447662253,198521.5439288053,199852.82940268362,170107.22275513277,129709.82515849327
1063439,51159.617429562815,55017.74522338924,43230.88653753827,40875.786156680355,36539.024373914406,65724.56952312612,177275.62631309166,267932.60517764336,275735.2423701553,248518.63454253424,231430.36953482294,236074.3067496308,223976.57624557917,231364.37120036752,235217.51416631675,228489.3949018203,223879.95856719682,219374.71783337186,221876.21512179228,177379.3303148457,151508.2800452566,133050.88442778122,115926.32228802043,95005.97433390675
1063440,10522.35621761222,11040.839061648421,7935.013296060787,5551.440985606849,9509.763834918678,11135.131716161937,15979.405213939193,23629.191412635257,21181.32639355822,19480.827998218832,28391.26664791688,27866.413474137393,34644.14723307208,24534.56978599226,26655.80857801016,27382.11182288121,27975.15156749629,22423.71058188944,21531.29409492101,20691.00297316736,17779.589739654355,17717.113082903732,16006.376878984483,15080.368873946232
1063441,7799.088636655431,6038.405972134444,6237.798803096755,2052.61968826355,8187.817224036746,17964.001053450185,29310.144448731713,42580.629251384795,36840.99677299613,29109.38198891651,26355.53132300485,23181.96367091948,22378.14384196348,23205.977030964787,22980.708274452772,22371.481451910164,28722.755772036253,35026.641085474934,33644.36612296242,23249.882532925083,14966.582946421051,10929.567961942968,10040.004899003896,7228.575791125492
1063442,4954.148549776611,4935.549221739349,3964.303317253115,2319.735013346775,3988.453065994092,11523.421969531013,27699.981474554665,48604.25366826699,49811.37049303293,46865.80464187129,35265.9415959109,29777.15364234115,29341.260753698025,33521.67598121631,35763.66806315258,35869.06739972744,38236.20839617408,33816.43376935311,29124.34965287751,33303.54860392005,30517.926067641034,19423.715868079064,24134.978810201726,12586.675989237041
1063443,7640.309376440526,5302.787665360234,4955.835184412069,3927.097846237001,6797.256580736717,12905.983799043017,16158.90088347225,19049.041319126907,15326.120261473443,14764.590067703552,14247.905962643725,17416.976341746536,16693.46125765621,16976.663597127186,16835.864586260173,15099.436331821187,13479.992573404103,15571.464630665343,13471.758613157926,12717.502427752705,14253.858096203601,12767.609253234396,9528.478123172748,8165.714668201483
1063444,2234.151765918992,538.7961398766308,1288.1695910844608,692.087453142638,2426.8213781966574,1270.743203930883,1750.1746284063315,2999.6816677291954,2294.592262589177,3084.6220053734496,2472.4035729627913,2978.805537140118,1909.305759301497,2044.4223408305807,4746.907988534348,5132.404759131392,1879.2371452888624,1707.3304417328404,1925.4259095439993,3753.5561345209962,1768.887064138275,1812.9081216290738,1568.1978273471564,1521.806851796237
1063445,1924.7316127274748,1661.7132104550221,1759.984660905522,717.6227049954131,2338.9495164475375,5750.891141398653,10847.909631878169,15087.195502847882,13275.568491772181,10803.734673950868,10078.613871068526,8444.80311006005,8663.719609665088,7625.865353295329,8810.916560495232,9147.29436211822,10588.144323151952,14280.737196173879,13759.770942530067,8150.06445900895,5250.002487786183,4444.09353407602,3617.6801767525444,2016.1993649649273
1063446,1923.3307504712134,1478.647867596345,1325.597129946267,701.4862597638994,1339.8185103020946,2857.2143944523455,8499.329015799418,15796.827651659201,16992.046942989553,15542.892679546589,10290.01403206297,9493.992006288516,9260.970450114775,9260.36818056845,9193.473644890277,11514.47897782717,11227.791501128759,9638.946908429956,8628.514431361318,9599.220400092754,8405.312017962298,6429.414879294729,6447.6024363936385,2935.2264690477627
1063447,9862.575725640947,7954.0301062243325,6811.966390881517,4382.008101364931,5402.712270028029,8533.673681000673,13737.604267518785,17543.65341479916,18480.556208946768,16872.94189629204,21258.555442412086,19558.20551634909,22572.7216486358,15025.498841692555,17060.765424330075,19231.449726084655,17894.08624793773,16257.670958864297,15579.04302260851,16509.599201474346,17343.19709604695,14112.97425262991,12179.589348451327,13705.256125587217
