5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
8896783,1240028605,특별광역시도,아리수로,서울특별시 강동구,0.253,4,21,24,25,27,22,25,19,34,34,35,33,32,34,34,32,32,30,29,28,29,31,31,31,33
8896784,1240028505,특별광역시도,아리수로,서울특별시 강동구,0.253,4,28,29,30,29,25,26,24,27,25,30,31,32,32,31,31,30,28,30,27,32,32,33,35,38
8896785,"124,005,430,112,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로93길,서울특별시 강동구,0.359,4,27,30,31,32,27,31,27,27,26,24,24,23,23,23,23,22,22,22,23,23,23,24,25,25
8896786,"124,005,450,112,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로93길,서울특별시 강동구,0.359,4,28,34,34,33,26,34,24,23,22,21,23,22,22,22,22,21,21,22,21,21,22,22,23,25
8896787,"124,005,620,112,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로93가길,서울특별시 강동구,0.969,2,27,28,27,29,26,28,26,26,25,25,26,25,26,25,25,25,25,26,26,26,25,25,26,27
8896788,"12,402,280,011,240,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로93가길,서울특별시 강동구,0.963,2,25,26,27,26,24,26,25,25,23,22,22,22,23,22,23,22,22,23,22,23,23,23,23,24
8896789,"1,240,051,601,124,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로94길,서울특별시 강동구,0.526,4,39,39,41,42,34,33,37,41,41,33,32,35,36,32,33,34,36,37,38,38,35,35,37,38
8896790,"1,240,051,701,124,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로94길,서울특별시 강동구,0.526,4,26,25,24,25,23,25,22,21,23,22,21,23,23,21,21,20,20,20,21,22,22,22,23,25
8896791,"12,400,527,001,240,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로98길,서울특별시 강동구,0.334,4,23,28,25,24,22,23,18,18,18,19,19,20,18,16,17,16,15,19,18,18,19,18,18,22
8896792,"12,400,526,001,240,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,아리수로98길,서울특별시 강동구,0.334,4,24,24,26,29,21,27,21,21,22,21,22,21,21,20,22,21,20,20,21,22,21,22,21,22
8896793,"1,240,023,000,124,000,000,000,000,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,1.317,4,34,36,38,38,35,38,35,31,29,29,28,27,28,28,28,27,27,26,27,28,28,30,31,33
8896794,"1,240,024,102,124,000,000,000,000,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,1.317,4,35,36,37,35,32,35,31,25,24,26,27,28,29,28,25,24,22,22,21,25,28,29,31,34
8896795,"124,015,670,112,401,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,0.166,3,23,24,24,25,23,26,25,23,21,23,24,25,25,25,24,24,23,22,21,22,24,24,24,25
8896796,"124,015,680,212,401,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,0.166,3,33,35,34,33,28,31,27,25,24,25,25,26,26,26,25,24,22,23,21,25,26,27,28,30
8896797,"1,240,156,702,124,010,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,0.618,4,37,37,39,39,38,37,35,33,28,30,31,31,31,32,31,30,28,29,28,30,30,31,32,34
8896798,"1,240,156,801,124,010,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,고덕로,서울특별시 강동구,0.618,4,38,40,39,37,36,36,38,34,34,34,35,36,36,35,34,34,33,33,32,33,34,35,35,36
8896799,"12,400,226,001,240,000,000",특별광역시도,상일로,서울특별시 강동구,0.402,6,34,36,37,37,33,35,29,29,28,29,30,29,29,29,28,28,26,23,23,26,29,29,33,36
8896800,"12,400,225,001,240,000,000",특별광역시도,상일로,서울특별시 강동구,0.402,6,20,21,20,20,18,19,16,30,30,34,33,34,35,35,35,34,33,33,33,35,35,35,37,39
8897037,"115,000,060,111,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,공항대로,서울특별시 강서구,1.008,4,41,39,37,37,40,37,38,37,35,37,37,37,38,37,36,35,35,32,29,33,34,32,32,37
8897042,"11,400,363,011,140,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,남부순환로,서울특별시 양천구,0.437,4,42,43,44,44,41,41,32,32,34,26,25,25,29,26,25,23,22,25,24,27,34,35,38,40
8897043,"11,400,382,021,140,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,화곡로,서울특별시 양천구,0.569,6,40,37,38,38,34,37,33,32,31,31,30,31,31,30,30,29,29,29,28,29,32,32,35,37
8897044,"11,400,381,021,140,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,화곡로,서울특별시 양천구,0.569,6,42,39,39,41,36,37,33,18,18,28,30,31,31,31,30,30,27,23,25,28,30,32,34,37
